workclass,education,marital-status,occupation,relationship,sex,native-country,class,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week
 ?, HS-grad, Never-married, ?, Own-child, Female, United-States,0,-1.5056186449326348,0.8795711773791076,-0.4261248777609272,-0.14600928018106676,-0.21694686573519104,-2.0630194706786242
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Male, United-States,0,-0.1164084535658519,-0.8555310404394167,-0.4261248777609272,-0.14600928018106676,-0.21694686573519104,-0.04164837868517439
 Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,1,0.8341037826324732,-0.08226692260345568,2.293207076213942,12.927134398390281,-0.21694686573519104,0.7669000581122056
 Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,1,-0.18952477942726154,-0.04963132206684,-0.4261248777609272,-0.14600928018106676,4.735098090541557,-0.04164837868517439
 Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Male, United-States,1,0.9803364343552925,-0.3042501323406584,-0.4261248777609272,-0.14600928018106676,-0.21694686573519104,-0.04164837868517439
 Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,1,1.7846160188307985,-0.8040227601660868,1.9047310827889605,0.259654424802052,-0.21694686573519104,-0.6884871281230784
 Private, Some-college, Divorced, Adm-clerical, Not-in-family, Female, United-States,0,0.46852215332542513,0.009489066379648461,-0.03764888433594593,-0.14600928018106676,-0.21694686573519104,-0.04164837868517439
 Private, HS-grad, Never-married, Priv-house-serv, Unmarried, Female, Guatemala,0,-1.1400370156255866,-0.3662358061722755,-0.4261248777609272,-0.14600928018106676,-0.21694686573519104,-0.04164837868517439
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,1,-0.1164084535658519,-0.00043437200418053865,1.127779095938998,-0.14600928018106676,-0.21694686573519104,0.36262583971351564
 Private, Bachelors, Married-civ-spouse, Other-service, Husband, Male, United-States,0,0.46852215332542513,0.1331165797966673,1.127779095938998,-0.14600928018106676,-0.21694686573519104,-0.04164837868517439
 Private, HS-grad, Never-married, Other-service, Own-child, Female, Mexico,0,-1.3593859932098156,0.7803940992485202,-0.4261248777609272,-0.14600928018106676,-0.21694686573519104,-0.04164837868517439
 State-gov, HS-grad, Divorced, Exec-managerial, Not-in-family, Male, United-States,1,0.9072201084938829,-1.5911644102173543,-0.4261248777609272,-0.14600928018106676,-0.21694686573519104,-0.2842129097243884
 Private, 11th, Never-married, Machine-op-inspct, Not-in-family, Male, United-States,0,1.4921507153851599,-0.8820253793005732,-1.2030768646108898,-0.14600928018106676,-0.21694686573519104,-0.04164837868517439
 Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Male, United-States,1,1.3459180636623407,-1.5695601584134842,0.35082710908903536,-0.14600928018106676,-0.21694686573519104,-0.04164837868517439
 Private, Some-college, Married-civ-spouse, Sales, Husband, Male, United-States,1,0.3954058274640155,-0.36972190339084876,-0.03764888433594593,-0.14600928018106676,-0.21694686573519104,0.7669000581122056
 Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,0,-0.7744553863185385,2.362805258893537,-0.03764888433594593,-0.14600928018106676,-0.21694686573519104,-0.8501968154825544
 ?, HS-grad, Never-married, ?, Unmarried, Female, United-States,0,-0.18952477942726154,-0.00788411400551511,-0.4261248777609272,-0.14600928018106676,-0.21694686573519104,-0.04164837868517439
 Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Male, United-States,1,-0.4088737570114904,1.1771215136734374,1.127779095938998,-0.14600928018106676,-0.21694686573519104,0.36262583971351564
 Private, HS-grad, Divorced, Craft-repair, Not-in-family, Male, United-States,0,-0.9206880380413578,0.14024158945435397,-0.4261248777609272,-0.14600928018106676,-0.21694686573519104,-0.04164837868517439
 Private, Some-college, Never-married, Adm-clerical, Own-child, Female, United-States,0,-1.5056186449326348,-0.14217048905521265,-0.03764888433594593,-0.14600928018106676,-0.21694686573519104,-2.4672936890773145
 Private, Some-college, Never-married, Prof-specialty, Not-in-family, Female, United-States,0,-0.9938043639027674,0.6107214496924834,-0.03764888433594593,-0.14600928018106676,-0.21694686573519104,-2.6290033764367906
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Male, United-States,0,-0.18952477942726154,-1.5142219466753655,-0.4261248777609272,-0.14600928018106676,-0.21694686573519104,0.7669000581122056
 ?, HS-grad, Widowed, ?, Not-in-family, Female, United-States,0,2.662011929167714,0.3608781150605462,-0.4261248777609272,-0.14600928018106676,-0.21694686573519104,-1.6587452522799344
 Private, HS-grad, Widowed, Adm-clerical, Unmarried, Female, United-States,0,1.4190343895237503,-0.3524155796646715,-0.4261248777609272,-0.14600928018106676,-0.21694686573519104,-0.04164837868517439
 Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, Male, United-States,0,0.24917317574119624,0.3990723692443115,1.127779095938998,-0.14600928018106676,-0.21694686573519104,0.7669000581122056
 Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Female, United-States,0,0.24917317574119624,-0.85419390725969,-0.4261248777609272,-0.14600928018106676,-0.21694686573519104,-0.04164837868517439
 ?, Some-college, Never-married, ?, Own-child, Male, United-States,0,-1.4325023190712252,-0.8646044441589908,-0.03764888433594593,-0.14600928018106676,-0.21694686573519104,-0.6884871281230784
 State-gov, 11th, Divorced, Other-service, Unmarried, Female, United-States,0,-0.9206880380413578,-0.11244792866014446,-1.2030768646108898,-0.14600928018106676,-0.21694686573519104,-0.04164837868517439
 Private, HS-grad, Divorced, Other-service, Not-in-family, Female, United-States,0,2.2964302998606656,-0.04424458554279808,-0.4261248777609272,-0.14600928018106676,-0.21694686573519104,-1.0119065028420304
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,1,-0.4819900828729,-1.5174119644041422,-0.4261248777609272,0.5309248688368479,-0.21694686573519104,-0.04164837868517439
 Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Male, United-States,1,-0.9206880380413578,0.04160891554694098,-0.03764888433594593,-0.14600928018106676,-0.21694686573519104,0.9286097454716816
 Private, HS-grad, Never-married, Transport-moving, Not-in-family, Male, United-States,0,-0.6282227345957193,0.36032415988608796,-0.4261248777609272,0.4900055199294304,-0.21694686573519104,-0.04164837868517439
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,1,0.24917317574119624,-0.3288820357014813,1.127779095938998,-0.14600928018106676,5.832212754602869,1.5754484949095857
 Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Male, United-States,0,0.9803364343552925,-1.1131775022701877,-0.03764888433594593,-0.14600928018106676,-0.21694686573519104,0.7669000581122056
 Private, 9th, Never-married, Machine-op-inspct, Other-relative, Male, Mexico,0,-1.1400370156255866,2.470635498887213,-1.9800288514608524,-0.14600928018106676,-0.21694686573519104,-0.4459225970838644
 Federal-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, Male, England,1,0.5416384791868347,-1.4250256126363097,1.5162550893639792,-0.14600928018106676,-0.21694686573519104,-0.04164837868517439
 Private, HS-grad, Divorced, Protective-serv, Not-in-family, Male, United-States,0,0.8341037826324732,-0.10392848011502852,-0.4261248777609272,-0.14600928018106676,-0.21694686573519104,-0.04164837868517439
 Private, 12th, Divorced, Craft-repair, Not-in-family, Male, United-States,0,-0.043292127704442275,-1.1787638847357833,-0.8146008711859085,-0.14600928018106676,-0.21694686573519104,-0.04164837868517439
 Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Male, United-States,1,1.4190343895237503,-0.7007483239347654,1.5162550893639792,-0.14600928018106676,-0.21694686573519104,-0.04164837868517439
